Task,Start,End,Importance,Class
Write Risk,10/10/2018,10/30/2018,4,Hard
Write Bud. Unc.,10/10/2018,10/23/2018,5,Hard
Write Clustering,10/10/2018,10/30/2018,3,Hard
Write Prices,10/10/2018,11/1/2018,2.5,Hard
TW HW,10/10/2018,10/23/2018,3.5,Easy
Consulting,10/10/2018,1/8/2019,3,Easy
DS Review,10/10/2018,11/28/2018,3.5,Easy
GT HW 3,10/10/2018,10/10/2018,4.5,Hard
GT HW,10/10/2018,10/23/2018,3.25,Hard
Website,10/10/2018,1/8/2019,1,Easy
Database,10/10/2018,1/8/2019,2,Easy
Read N.I.M,10/10/2018,11/9/2018,4.25,Easy
